;_id;news_title;first_crypto;second_crypto;third_crypto;source;news_link;publication_date;pos_votes;neg_votes;imp_votes;com_votes;like_votes;dislike_votes;lol_votes;save_votes
0;14738236;$100M Wave Financial Fund Offers Liquidity to New Cardano DeFi Platforms;ADA;;;blockworks.co;https://cryptopanic.com/news/14738236/100M-Wave-Financial-Fund-Offers-Liquidity-to-New-Cardano-DeFi-Platforms;2022.03.30;;;;;;;;
1;14738237;Women-Led DAO Tackles (Lack of) Gender Diversity in Crypto;;;;coindesk.com;https://cryptopanic.com/news/14738237/Women-Led-DAO-Tackles-Lack-of-Gender-Diversity-in-Crypto;2022.03.30;;;;;;;;
2;14738189;Goldman Sachs Data Reveals Institutional Bitcoin Trend Expected To Continue;BTC;;;bitcoinist.com;https://cryptopanic.com/news/14738189/Goldman-Sachs-Data-Reveals-Institutional-Bitcoin-Trend-Expected-To-Continue;2022.03.30;1;;;;1;;;
3;14738233;New Jersey Securities Bureau Issues Marching Orders to Voyager;;;;beincrypto.com;https://cryptopanic.com/news/14738233/New-Jersey-Securities-Bureau-Issues-Marching-Orders-to-Voyager;2022.03.30;;;;;;;;
4;14738201;Grayscale Could Consider Lawsuit Against SEC Should Regulator Reject Crypto Giant’s Bitcoin ETF Bid;BTC;;;dailyhodl.com;https://cryptopanic.com/news/14738201/Grayscale-Could-Consider-Lawsuit-Against-SEC-Should-Regulator-Reject-Crypto-Giants-Bitcoin-ETF-Bid;2022.03.30;;;;;;;;
5;14738138;Move Over Bored Apes: Rising Ethereum NFT Project Azuki Notches First $1M Sale;ETH;;;decrypt.co;https://cryptopanic.com/news/14738138/Move-Over-Bored-Apes-Rising-Ethereum-NFT-Project-Azuki-Notches-First-1M-Sale;2022.03.30;;;;;;;;
6;14738042;Azuki NFT #9605 Bought for a Massive $1.4 Million;;;;ethereumworldnews.com;https://cryptopanic.com/news/14738042/Azuki-NFT-9605-Bought-for-a-Massive-14-Million;2022.03.30;1;;1;;1;;;1
7;14738076;AAVE’s breakout – Is it legit or a bull trap in the making;LEND;;;ambcrypto.com;https://cryptopanic.com/news/14738076/AAVEs-breakout-Is-it-legit-or-a-bull-trap-in-the-making;2022.03.30;1;;;1;;;;
8;14738078;Why the rise of a Bitcoin standard could deter war-making;BTC;;;cointelegraph.com;https://cryptopanic.com/news/14738078/Why-the-rise-of-a-Bitcoin-standard-could-deter-war-making;2022.03.30;;;;;;;;
9;14738058;Opera Extends Support To Polygon, Solana In Major Web3 Push For Over 300 Million Users;BTC;SOL;MATIC;zycrypto.com;https://cryptopanic.com/news/14738058/Opera-Extends-Support-To-Polygon-Solana-In-Major-Web3-Push-For-Over-300-Million-Users;2022.03.30;5;1;4;;4;1;1;1
10;14738010;CowSwap разблокировала аирдроп на $100 млн среди ранних пользователей;;;;forklog.com;https://cryptopanic.com/news/14738010/CowSwap-100;2022.03.30;;;;;;;;
11;14738003;Inside the Ukrainian Crypto Startup Waging Cyberwar on Russia;;;;coindesk.com;https://cryptopanic.com/news/14738003/Inside-the-Ukrainian-Crypto-Startup-Waging-Cyberwar-on-Russia;2022.03.30;;;1;;;;;1
12;14738004;A Digital Dollar May Help the Poor, but It’s Far From a Done Deal;;;;coindesk.com;https://cryptopanic.com/news/14738004/A-Digital-Dollar-May-Help-the-Poor-but-Its-Far-From-a-Done-Deal;2022.03.30;;;;;1;;;
13;14738005;Eldridge, a16z Lead $620M Financing Round for Fintech Cross River Bank;;;;coindesk.com;https://cryptopanic.com/news/14738005/Eldridge-a16z-Lead-620M-Financing-Round-for-Fintech-Cross-River-Bank;2022.03.30;1;;;;1;;;
14;14737970;Ripple Scores Another Victory over SEC, SHIB Teases Community with Update, LUNA Reaches New All-Time High: Crypto News Digest by U.Today;LUNA;LUNA;SHIB;;https://cryptopanic.com/news/14737970/Ripple-Scores-Another-Victory-over-SEC-SHIB-Teases-Community-with-Update-LUNA-Reaches-New-All-Time-High-Crypto-News-Digest-by-UToday;2022.03.30;;;;;1;;;
15;14737960;UK financial watchdog extends registration deadline for some crypto firms;;;;cointelegraph.com;https://cryptopanic.com/news/14737960/UK-financial-watchdog-extends-registration-deadline-for-some-crypto-firms;2022.03.30;;;;;;;;
16;14737968;Sequoia, FTX Ventures And A16z Lead $135 Million Investment In Crypto Firm Breaking Down Barriers Between Blockchains;;;;forbes.com;https://cryptopanic.com/news/14737968/Sequoia-FTX-Ventures-And-A16z-Lead-135-Million-Investment-In-Crypto-Firm-Breaking-Down-Barriers-Between-Blockchains;2022.03.30;;;1;;1;;;
17;14737962;Helium’s Nova Labs now valued at $1.2 billion after fastest rollout in history;HNT;;;cryptoslate.com;https://cryptopanic.com/news/14737962/Heliums-Nova-Labs-now-valued-at-12-billion-after-fastest-rollout-in-history;2022.03.30;1;;;;1;;;
18;14738001;Enjin Coin (ENJ) Breaks Out After Long Consolidation Period;ENJ;;;beincrypto.com;https://cryptopanic.com/news/14738001/Enjin-Coin-ENJ-Breaks-Out-After-Long-Consolidation-Period;2022.03.30;2;;2;;1;;;
19;14737959;Helium Becomes Nova Labs After Raising $200M in Fresh Capital;HNT;;;coindesk.com;https://cryptopanic.com/news/14737959/Helium-Becomes-Nova-Labs-After-Raising-200M-in-Fresh-Capital;2022.03.30;;;;;;;;
20;14737903;Гибридные процессоры PlayStation 5 испытали в майнинге Ethereum и TON;ETH;;;forklog.com;https://cryptopanic.com/news/14737903/PlayStation-5-Ethereum-TON;2022.03.30;;;;;;;;
21;14737856;Shiba Inu's Profitability Rises to 46% as Expectations for Future Announcements Increase;SHIB;;;u.today;https://cryptopanic.com/news/14737856/Shiba-Inus-Profitability-Rises-to-46-as-Expectations-for-Future-Announcements-Increase;2022.03.30;3;;1;;2;;;1
22;14737855;Acala Integrates Wormhole, Taking Polkadot Multi-Chain;DOT;KSM;;cryptobriefing.com;https://cryptopanic.com/news/14737855/Acala-Integrates-Wormhole-Taking-Polkadot-Multi-Chain;2022.03.30;2;;1;;;;;
23;14737814;Bitcoin sentiment hits 'greed' in 2022 first amid calls for $45K BTC price pullback;BTC;;;cointelegraph.com;https://cryptopanic.com/news/14737814/Bitcoin-sentiment-hits-greed-in-2022-first-amid-calls-for-45K-BTC-price-pullback;2022.03.30;2;;;;;;;
24;14737769;Неизвестный перевел 11 325 биткойнов на сумму $536 млн спустя 7 лет;;;;bitnovosti.com;https://cryptopanic.com/news/14737769/11-325-536-7;2022.03.30;;;;;;;;
25;14737785;OpenSea Investor gCC Raises $110 Million;;;;trustnodes.com;https://cryptopanic.com/news/14737785/OpenSea-Investor-gCC-Raises-110-Million;2022.03.30;1;;1;1;;;;1
26;14737813;ECB Official Calls for ‘Less Tolerant’ Approach to Bitcoin ‘Gambling’;BTC;;;coindesk.com;https://cryptopanic.com/news/14737813/ECB-Official-Calls-for-Less-Tolerant-Approach-to-Bitcoin-Gambling;2022.03.30;;2;1;;;3;2;
27;14737748;The Biggest Ever Crypto Hack: What Happened in the Ronin Bridge Attack;ETH;;;cryptopotato.com;https://cryptopanic.com/news/14737748/The-Biggest-Ever-Crypto-Hack-What-Happened-in-the-Ronin-Bridge-Attack;2022.03.30;2;7;3;1;1;2;2;1
28;14737749;Crypto investors lose almost $700 million to blockchain hackers in Q1, 2022;;;;finbold.com;https://cryptopanic.com/news/14737749/Crypto-investors-lose-almost-700-million-to-blockchain-hackers-in-Q1-2022;2022.03.30;;7;3;4;2;2;2;3
29;14738011;Visa запускает новую программу для поддержки стартапов на базе NFT;;;;incrypted.net;https://cryptopanic.com/news/14738011/Visa-NFT;2022.03.30;;;;;;;;
30;14737741;Holy Cowl, Batman! DC To Sell 200,000 Batman NFT Collectibles, Aims To Rake In $60 Million;;;;;https://cryptopanic.com/news/14737741/Holy-Cowl-Batman-DC-To-Sell-200000-Batman-NFT-Collectibles-Aims-To-Rake-In-60-Million;2022.03.30;1;;;;1;;1;2
31;14737701;The Investor’s Guide to Bitcoin;BTC;;;blockworks.co;https://cryptopanic.com/news/14737701/The-Investors-Guide-to-Bitcoin;2022.03.30;;;1;;1;;;
32;14737710;Fan token dev Socios inks $20 million promotion deal with Lionel Messi;;;;cryptoslate.com;https://cryptopanic.com/news/14737710/Fan-token-dev-Socios-inks-20-million-promotion-deal-with-Lionel-Messi;2022.03.30;1;;1;;1;;;
33;14737709;Is China’s apprehension to ban NFTs a hopeful sign for investors?;;;;cointelegraph.com;https://cryptopanic.com/news/14737709/Is-Chinas-apprehension-to-ban-NFTs-a-hopeful-sign-for-investors;2022.03.30;1;;1;;;1;;
34;14737724;Opera to Bring Blockchain to the Masses Directly From the Browser;;;;beincrypto.com;https://cryptopanic.com/news/14737724/Opera-to-Bring-Blockchain-to-the-Masses-Directly-From-the-Browser;2022.03.30;1;;;;1;;;1
35;14737704;Sky Mavis Pledges to Reimburse Players Following Axie Infinity Hack;AXS;;;coindesk.com;https://cryptopanic.com/news/14737704/Sky-Mavis-Pledges-to-Reimburse-Players-Following-Axie-Infinity-Hack;2022.03.30;;;;;;;;1
