;_id;news_title;first_crypto;second_crypto;third_crypto;source;news_link;publication_date;pos_votes;neg_votes;imp_votes;com_votes;like_votes;dislike_votes;lol_votes;save_votes
0;14725097;CTFC looks at expanded authority to regulate crypto, for less than a 10% budget increase;BTC;;;cointelegraph.com;https://cryptopanic.com/news/14725097/CTFC-looks-at-expanded-authority-to-regulate-crypto-for-less-than-a-10-budget-increase;2022.03.29;;;;;;;;
1;14725065;OpenSea Closing In on Support for Solana NFTs;ETH;SOL;;coindesk.com;https://cryptopanic.com/news/14725065/OpenSea-Closing-In-on-Support-for-Solana-NFTs;2022.03.29;1;;2;;2;;;1
2;14725064;Dubai School Makes History As First In Middle East To Accept Bitcoin & Ether Payments;BTC;ETH;;bitcoinist.com;https://cryptopanic.com/news/14725064/Dubai-School-Makes-History-As-First-In-Middle-East-To-Accept-Bitcoin-Ether-Payments;2022.03.29;2;;1;;2;;;2
3;14725074;Liquidations Continue To Rock The Market As Bitcoin Breaks $47,000;BTC;ETH;DOGE;newsbtc.com;https://cryptopanic.com/news/14725074/Liquidations-Continue-To-Rock-The-Market-As-Bitcoin-Breaks-47000;2022.03.29;1;;1;;1;;;1
4;14725000;MicroStrategy subsidiary will purchase Bitcoin after closing $205M crypto-collateralized loan;BTC;;;cointelegraph.com;https://cryptopanic.com/news/14725000/MicroStrategy-subsidiary-will-purchase-Bitcoin-after-closing-205M-crypto-collateralized-loan;2022.03.29;;;1;1;1;;1;
5;14725062;Indian State Issues Caste Certificates on Polygon as Part of e-Governance;MATIC;;;beincrypto.com;https://cryptopanic.com/news/14725062/Indian-State-Issues-Caste-Certificates-on-Polygon-as-Part-of-e-Governance;2022.03.29;;1;;;;1;1;
6;14724931;Axie Infinity's Ronin bridge hacked for over $600M;ETH;;;cointelegraph.com;https://cryptopanic.com/news/14724931/Axie-Infinitys-Ronin-bridge-hacked-for-over-600M;2022.03.29;2;1;3;3;1;1;3;2
7;14724924;Ethereum’s ‘Merge’ and Options and whatever else is fueling its rally;ETH;;;ambcrypto.com;https://cryptopanic.com/news/14724924/Ethereums-Merge-and-Options-and-whatever-else-is-fueling-its-rally;2022.03.29;2;;1;;2;;;
8;14724928;Leadership Candidate Vows to Make Canada ‘Blockchain Capital of the World’;;;;beincrypto.com;https://cryptopanic.com/news/14724928/Leadership-Candidate-Vows-to-Make-Canada-Blockchain-Capital-of-the-World;2022.03.29;1;;;;;;;1
9;14724863;Sky Mavis’ Ronin Network Bridge Exploited for Over $625M;AXS;;;blockworks.co;https://cryptopanic.com/news/14724863/Sky-Mavis-Ronin-Network-Bridge-Exploited-for-Over-625M;2022.03.29;;;;;;;1;1
10;14724888;Elon Musk Hints At Integrating Dogecoin For Millions Of Users If He Buys Twitter or Creates Own Platform;DOGE;;;;https://cryptopanic.com/news/14724888/Elon-Musk-Hints-At-Integrating-Dogecoin-For-Millions-Of-Users-If-He-Buys-Twitter-or-Creates-Own-Platform;2022.03.29;8;2;5;;5;2;1;2
11;14724872;Ronin Network Hacked for 173.6k Ethereum and 25.5M USDC;ETH;USDC;;ethereumworldnews.com;https://cryptopanic.com/news/14724872/Ronin-Network-Hacked-for-1736k-Ethereum-and-255M-USDC;2022.03.29;;1;;;1;1;1;2
12;14724870;Hacker Drains $622M From Axie Infinity’s Ronin Ethereum Sidechain;ETH;USDC;;decrypt.co;https://cryptopanic.com/news/14724870/Hacker-Drains-622M-From-Axie-Infinitys-Ronin-Ethereum-Sidechain;2022.03.29;;1;1;;;;2;1
13;14724842;Ethereum-сайдчейн Ronin подвергся хакерской атаке. Злоумышленник вывел криптоактивы на $625 млн;ETH;USDT;USDC;forklog.com;https://cryptopanic.com/news/14724842/Ethereum-Ronin-625;2022.03.29;;;;;;;;
14;14724844;Axie Infinity's Ronin Sidechain Suffers $625 Million Hack;;;;u.today;https://cryptopanic.com/news/14724844/Axie-Infinitys-Ronin-Sidechain-Suffers-625-Million-Hack;2022.03.29;;2;2;2;;1;1;1
15;14724841;Waiting on the executive order: how users and financial professionals may benefit from it;;;;cointelegraph.com;https://cryptopanic.com/news/14724841/Waiting-on-the-executive-order-how-users-and-financial-professionals-may-benefit-from-it;2022.03.29;;;1;;;;;2
16;14724797;Axie Infinity Network Hit by $551.8M Exploit;AXS;;;cryptobriefing.com;https://cryptopanic.com/news/14724797/Axie-Infinity-Network-Hit-by-5518M-Exploit;2022.03.29;;3;;2;;3;1;1
17;14724806;91 Percent of U.S. Consumers Have Heard of Crypto: Survey;;;;u.today;https://cryptopanic.com/news/14724806/91-Percent-of-US-Consumers-Have-Heard-of-Crypto-Survey;2022.03.29;1;;;;;;;1
18;14724800;Solana NFT Platform Snowcrash Taps Civic to Combat Bots;SOL;;;decrypt.co;https://cryptopanic.com/news/14724800/Solana-NFT-Platform-Snowcrash-Taps-Civic-to-Combat-Bots;2022.03.29;1;;1;;2;;;1
19;14724788;Trust Wallet Founder Viktor Radchenko Steps Down as CEO;;;;beincrypto.com;https://cryptopanic.com/news/14724788/Trust-Wallet-Founder-Viktor-Radchenko-Steps-Down-as-CEO;2022.03.29;;;;;;;;
20;14724736;What are the best altcoins you can buy for under $3? | Find out now on The Market Report;;;;cointelegraph.com;https://cryptopanic.com/news/14724736/What-are-the-best-altcoins-you-can-buy-for-under-3-Find-out-now-on-The-Market-Report;2022.03.29;1;;1;2;;;;2
21;14724735;Axie Infinity’s Ronin Network Suffers $625M Exploit;;;;coindesk.com;https://cryptopanic.com/news/14724735/Axie-Infinitys-Ronin-Network-Suffers-625M-Exploit;2022.03.29;;9;4;5;;4;3;1
22;14724734;Greenpeace, Ripple Lobby to Move Bitcoin Away From Proof-of-Work;BTC;;;bitcoinmagazine.com;https://cryptopanic.com/news/14724734/Greenpeace-Ripple-Lobby-to-Move-Bitcoin-Away-From-Proof-of-Work;2022.03.29;2;;1;;1;;1;1
23;14724692;Silvergate Issues Bitcoin-collateralized Loan to MicroStrategy Subsidiary;BTC;;;blockworks.co;https://cryptopanic.com/news/14724692/Silvergate-Issues-Bitcoin-collateralized-Loan-to-MicroStrategy-Subsidiary;2022.03.29;;;;;;;;
24;14724697;Nearly $13.75M liquidated as WAVES rallies 70% in a day — what's next?;;;;cointelegraph.com;https://cryptopanic.com/news/14724697/Nearly-1375M-liquidated-as-WAVES-rallies-70-in-a-day-whats-next;2022.03.29;;;;;;;;1
25;14724693;Jeff Koons’ First NFT Project Is a Riff on Crypto’s ‘Moon’ Meme;;;;coindesk.com;https://cryptopanic.com/news/14724693/Jeff-Koons-First-NFT-Project-Is-a-Riff-on-Cryptos-Moon-Meme;2022.03.29;;;;;;;;
26;14724653;MicroStrategy Borrows Against Bitcoin to Buy More Bitcoin;BTC;;;cryptobriefing.com;https://cryptopanic.com/news/14724653/MicroStrategy-Borrows-Against-Bitcoin-to-Buy-More-Bitcoin;2022.03.29;6;;1;2;4;;1;2
27;14724701;How Crypto Tax Software Can Simplify Your Taxes;;;;decrypt.co;https://cryptopanic.com/news/14724701/How-Crypto-Tax-Software-Can-Simplify-Your-Taxes;2022.03.29;;;;;;;;
