;_id;news_title;first_crypto;second_crypto;third_crypto;source;news_link;publication_date;pos_votes;neg_votes;imp_votes;com_votes;like_votes;dislike_votes;lol_votes;save_votes
0;14639293;Crypto Mining, the Energy Crisis and the End of 'ESG';;;;coindesk.com;https://cryptopanic.com/news/14639293/Crypto-Mining-the-Energy-Crisis-and-the-End-of-ESG;2022.03.21;;;;;;;;
1;14639259;Bitcoin’s Network Activity Is Soaring. What Comes Next?;BTC;;;cryptobriefing.com;https://cryptopanic.com/news/14639259/Bitcoins-Network-Activity-Is-Soaring-What-Comes-Next;2022.03.21;;;;;;;;
2;14639260;Goldman Sachs Becomes the First Major US Bank to Trade an OTC Crypto Transaction;;;;cryptopotato.com;https://cryptopanic.com/news/14639260/Goldman-Sachs-Becomes-the-First-Major-US-Bank-to-Trade-an-OTC-Crypto-Transaction;2022.03.21;;;;;;;;
3;14639292;China: Supreme Court Rules Crypto Transactions Are ‘Illegal Fundraising’;;;;beincrypto.com;https://cryptopanic.com/news/14639292/China-Supreme-Court-Rules-Crypto-Transactions-Are-Illegal-Fundraising;2022.03.21;;;;;;;;
4;14639235;VC investments in crypto surge five-fold in a year as money pours into Web3 era;;;;finbold.com;https://cryptopanic.com/news/14639235/VC-investments-in-crypto-surge-five-fold-in-a-year-as-money-pours-into-Web3-era;2022.03.21;4;1;3;;4;1;2;1
5;14639237;Ведущий банк Канады использует сеть Ripple для осуществления трансграничных платежей;XRP;;;forklog.com;https://cryptopanic.com/news/14639237/Ripple;2022.03.21;;;;;;;;
6;14639210;Law Decoded: Arab States of the Gulf open up to digital asset services, March 14–21;;;;cointelegraph.com;https://cryptopanic.com/news/14639210/Law-Decoded-Arab-States-of-the-Gulf-open-up-to-digital-asset-services-March-1421;2022.03.21;;;;;;;;
7;14639184;Malaysia Comms Ministry Proposes Adopting Crypto as Legal Tender;;;;cryptobriefing.com;https://cryptopanic.com/news/14639184/Malaysia-Comms-Ministry-Proposes-Adopting-Crypto-as-Legal-Tender;2022.03.21;1;;;1;1;;;
8;14639211;Price analysis 3/21: BTC, ETH, BNB, XRP, LUNA, SOL, ADA, AVAX, DOT, DOGE;BTC;ETH;XRP;cointelegraph.com;https://cryptopanic.com/news/14639211/Price-analysis-321-BTC-ETH-BNB-XRP-LUNA-SOL-ADA-AVAX-DOT-DOGE;2022.03.21;3;;1;;2;;;2
9;14639209;Abu Dhabi Free Zone Seeks Comments on NFT Rules;;;;coindesk.com;https://cryptopanic.com/news/14639209/Abu-Dhabi-Free-Zone-Seeks-Comments-on-NFT-Rules;2022.03.21;;;;;;;;
