;_id;news_title;first_crypto;second_crypto;third_crypto;source;news_link;publication_date;pos_votes;neg_votes;imp_votes;com_votes;like_votes;dislike_votes;lol_votes;save_votes
0;14751055;Are We Facing a New Cold War?;BTC;;;trustnodes.com;https://cryptopanic.com/news/14751055/Are-We-Facing-a-New-Cold-War;2022.03.31;;;;;;;;
1;14751050;Max Keiser claims IMF false flag in El Salvador is attempting to destabilize Bitcoin;BTC;;;cryptoslate.com;https://cryptopanic.com/news/14751050/Max-Keiser-claims-IMF-false-flag-in-El-Salvador-is-attempting-to-destabilize-Bitcoin;2022.03.31;;;;;;;;
2;14750998;European Parliament Moves Forward on Anti-Anonymity Rules;;;;cryptobriefing.com;https://cryptopanic.com/news/14750998/European-Parliament-Moves-Forward-on-Anti-Anonymity-Rules;2022.03.31;;4;4;6;1;2;4;2
3;14751002;Australian stock exchange delays $190M blockchain overhaul yet again;;;;protos.com;https://cryptopanic.com/news/14751002/Australian-stock-exchange-delays-190M-blockchain-overhaul-yet-again;2022.03.31;1;;;;;;;
4;14750994;EU Voted In Favor Of A Crypto Wallet Crackdown, What’s Next?;BTC;;;bitcoinist.com;https://cryptopanic.com/news/14750994/EU-Voted-In-Favor-Of-A-Crypto-Wallet-Crackdown-Whats-Next;2022.03.31;;1;;;;1;1;
5;14750995;Composable Finance Raises $32 Million in Series A;;;;bitcoinist.com;https://cryptopanic.com/news/14750995/Composable-Finance-Raises-32-Million-in-Series-A;2022.03.31;;;;;;;;
6;14750996;Bitcoin derivatives metrics favor a move to $48K, but only after a lower support retest;BTC;;;cointelegraph.com;https://cryptopanic.com/news/14750996/Bitcoin-derivatives-metrics-favor-a-move-to-48K-but-only-after-a-lower-support-retest;2022.03.31;;;;;;;;
7;14750936;Zilliqa Metaverse Hype Ensues, But ZIL Looks Exhausted;ZIL;;;cryptobriefing.com;https://cryptopanic.com/news/14750936/Zilliqa-Metaverse-Hype-Ensues-But-ZIL-Looks-Exhausted;2022.03.31;;;;;;;;
8;14750931;This decentralized PoS blockchain eliminates hurdles to make investing truly accessible;;;;;https://cryptopanic.com/news/14750931/This-decentralized-PoS-blockchain-eliminates-hurdles-to-make-investing-truly-accessible;2022.03.31;;;;;;;;
9;14750945;Европарламент поддержал обязательную верификацию пользователей DeFi-кошельков;;;;forklog.com;https://cryptopanic.com/news/14750945/DeFi-;2022.03.31;;;;;;;;
10;14750932;Does MicroStrategy’s Michael Saylor Not Support Bitcoin-Backed Bonds?;BTC;;;bitcoinist.com;https://cryptopanic.com/news/14750932/Does-MicroStrategys-Michael-Saylor-Not-Support-Bitcoin-Backed-Bonds;2022.03.31;;;;;;;;1
11;14750927;ЕЦБ: Нет необходимости деанонимизировать мелкие платежи в криптовалюте;;;;bitnovosti.com;https://cryptopanic.com/news/14750927/post-14750927;2022.03.31;;;;;;;;
12;14750928;Ukraine’s KUNA Exchange Says Crypto Has Been Vital During Russia Invasion;;;;beincrypto.com;https://cryptopanic.com/news/14750928/Ukraines-KUNA-Exchange-Says-Crypto-Has-Been-Vital-During-Russia-Invasion;2022.03.31;;1;;;;1;1;
13;14750934;ShapeShift DAO launches NFT auction in support of female artists;;;;cointelegraph.com;https://cryptopanic.com/news/14750934/ShapeShift-DAO-launches-NFT-auction-in-support-of-female-artists;2022.03.31;;;;;;;;
14;14751052;Here’s the Signal That Bitcoin (BTC) Is Headed for $500,000, According to Hedge Fund CEO Anthony Scaramucci;BTC;;;dailyhodl.com;https://cryptopanic.com/news/14751052/Heres-the-Signal-That-Bitcoin-BTC-Is-Headed-for-500000-According-to-Hedge-Fund-CEO-Anthony-Scaramucci;2022.03.31;;;;;;;;
15;14750890;How Brands Can Leverage Metaverse Land for Maximum Returns;MANA;AR;;newsbtc.com;https://cryptopanic.com/news/14750890/How-Brands-Can-Leverage-Metaverse-Land-for-Maximum-Returns;2022.03.31;;;;;;;;
16;14750846;Crypto Use Aids Ransomware Investigations According To US Financial Regulator;;;;bitcoinist.com;https://cryptopanic.com/news/14750846/Crypto-Use-Aids-Ransomware-Investigations-According-To-US-Financial-Regulator;2022.03.31;;;;;;;;
17;14750847;US Firms Providing Custody Services Should Account for Crypto Assets as Liability, Disclose Risk, SEC Says;;;;coindesk.com;https://cryptopanic.com/news/14750847/US-Firms-Providing-Custody-Services-Should-Account-for-Crypto-Assets-as-Liability-Disclose-Risk-SEC-Says;2022.03.31;1;;;;;;;
18;14750852;Alfa Romeo F1 team enters hyper-realistic Everdome Metaverse;;;;cryptoslate.com;https://cryptopanic.com/news/14750852/Alfa-Romeo-F1-team-enters-hyper-realistic-Everdome-Metaverse;2022.03.31;;;;;;;;
